Order_ID,Customer_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Order_Month,Order_Year,Ship_Days,Profit_Margin
ORD02679,C00924,2024-01-01 09:05:18,2024-01-04 09:05:18,Standard Class,Corporate,East,Office Supplies,Art,84.97,3,0.135,0.9,2024-01,2024,3.0,1.0591973637754502
ORD03118,C00870,2024-01-01 09:57:13,2024-01-06 09:57:13,Standard Class,Consumer,East,Office Supplies,Binders,105.52,5,0.257,-12.67,2024-01,2024,5.0,-12.007202426080363
ORD02770,C00001,2024-01-01 18:42:07,2024-01-03 18:42:07,Second Class,Consumer,North,Office Supplies,Paper,89.88,2,0.231,-5.11,2024-01,2024,2.0,-5.685358255451714
ORD01001,C00209,2024-01-01 21:36:11,2024-01-06 21:36:11,Standard Class,Corporate,West,Office Supplies,Paper,236.58,8,0.147,-4.47,2024-01,2024,5.0,-1.8894242962211512
ORD01463,C00511,2024-01-01 21:51:12,2024-01-05 21:51:12,Standard Class,Corporate,East,Technology,Phones,618.18,4,0.115,50.9,2024-01,2024,4.0,8.23384774661102
ORD02633,C00902,2024-01-02 02:53:33,2024-01-03 02:53:33,First Class,Consumer,North,Technology,Phones,409.36,4,0.073,76.35,2024-01,2024,1.0,18.651065077193664
ORD02668,C00686,2024-01-02 05:05:44,2024-01-02 05:05:44,Same Day,Home Office,East,Technology,Accessories,874.67,6,0.092,152.48,2024-01,2024,0.0,17.432860393062526
ORD02876,C00740,2024-01-02 05:06:38,2024-01-03 05:06:38,First Class,Consumer,North,Office Supplies,Art,336.91,6,0.014,67.18,2024-01,2024,1.0,19.940043335015286
ORD02479,C00690,2024-01-02 16:26:58,2024-01-03 16:26:58,First Class,Consumer,South,Furniture,Tables,523.35,6,0.128,-32.68,2024-01,2024,1.0,-6.244387121429253
ORD01685,C00550,2024-01-03 05:55:26,2024-01-05 05:55:26,First Class,Home Office,South,Technology,Accessories,380.59,3,0.091,21.22,2024-01,2024,2.0,5.575553745500407
ORD03822,C00258,2024-01-03 07:09:58,2024-01-06 07:09:58,Second Class,Corporate,North,Office Supplies,Binders,183.96,6,0.113,5.82,2024-01,2024,3.0,3.1637312459230267
ORD03245,C00357,2024-01-03 07:11:06,2024-01-05 07:11:06,Second Class,Corporate,East,Office Supplies,Appliances,365.2,7,0.035,30.95,2024-01,2024,2.0,8.474808324205915
