Order_ID,Customer_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD02619,C00869,2024-03-06 03:40:36,2024-03-11 03:40:36,Standard Class,Home Office,East,Technology,Phones,1123.35,6,0.043,245.31
ORD03793,C00736,2025-07-18 23:42:35,2025-07-20 23:42:35,First Class,Consumer,West,Office Supplies,Storage,101.1,6,0.209,2.25
ORD00178,C00821,2025-04-22 20:05:34,2025-04-26 20:05:34,Second Class,Consumer,East,Technology,Accessories,364.2,3,0.122,43.76
ORD01409,C00748,2024-11-16 09:09:00,2024-11-19 09:09:00,First Class,Corporate,West,Technology,Accessories,724.78,4,0.046,70.96
ORD03466,C00555,2024-11-12 02:25:36,2024-11-15 02:25:36,Standard Class,Home Office,West,Office Supplies,Art,110.38,5,0.154,0.96
ORD00146,C00640,2025-09-18 18:38:07,2025-09-23 18:38:07,Standard Class,Consumer,North,Office Supplies,Paper,173.83,7,0.187,-15.34
ORD02778,C00048,2024-03-03 17:46:03,2024-03-07 17:46:03,Standard Class,Consumer,South,Technology,Accessories,441.49,3,0.237,12.19
ORD02267,C00353,2025-05-24 01:53:16,2025-05-27 01:53:16,Second Class,Consumer,East,Office Supplies,Paper,63.86,4,0.205,-2.12
ORD03231,C00311,2024-05-27 01:44:46,2024-05-30 01:44:46,First Class,Corporate,West,Furniture,Bookcases,587.04,2,0.2,-41.08
ORD01833,C00275,2024-03-09 17:59:13,2024-03-13 17:59:13,Standard Class,Home Office,South,Office Supplies,Binders,81.71,7,0.255,-9.67
ORD00316,C00337,2025-01-19 07:54:42,2025-01-23 07:54:42,Standard Class,Corporate,North,Technology,Phones,1175.18,7,0.217,86.65
ORD02240,C00618,2025-12-13 04:54:12,2025-12-17 04:54:12,Standard Class,Consumer,East,Technology,Laptops,716.7,6,0.12,73.8
ORD03777,C00590,2025-06-21 02:22:53,2025-06-24 02:22:53,Second Class,Corporate,North,Technology,Laptops,750.03,7,0.115,77.37
ORD02112,C00693,2025-07-09 15:10:03,2025-07-12 15:10:03,First Class,Corporate,East,Office Supplies,Paper,228.51,7,0.07,22.64
ORD00196,C00408,2025-06-07 18:12:06,2025-06-11 18:12:06,Standard Class,Consumer,East,Office Supplies,Paper,499.11,7,0.152,14.48
ORD00390,C00874,2025-07-27 19:50:47,2025-07-31 19:50:47,Second Class,Corporate,East,Technology,Phones,593.59,4,0.286,-33.66
ORD01909,C00487,2025-01-09 15:43:46,2025-01-14 15:43:46,Standard Class,Consumer,West,Technology,Phones,219.58,2,0.306,-0.44
ORD02919,C00325,2024-04-03 12:33:03,2024-04-05 12:33:03,First Class,Consumer,East,Office Supplies,Appliances,604.96,8,0.063,94.44
ORD00823,C00846,2025-09-05 00:23:20,2025-09-07 00:23:20,First Class,Corporate,East,Office Supplies,Art,17.63,1,0.103,1.21
ORD01468,C00275,2024-11-24 18:45:41,2024-11-27 18:45:41,Standard Class,Consumer,East,Furniture,Tables,298.06,4,0.161,-21.7
ORD03768,C00785,2024-12-31 06:09:56,2025-01-02 06:09:56,Second Class,Home Office,West,Technology,Accessories,689.02,6,0.276,-11.74
ORD03884,C00704,2024-09-27 16:22:52,2024-09-30 16:22:52,First Class,Consumer,West,Technology,Accessories,1110.0,7,0.355,-144.15
ORD03476,C00904,2024-05-13 06:16:10,2024-05-15 06:16:10,First Class,,North,Office Supplies,Storage,120.34,6,0.208,4.69
ORD02305,C00929,2025-11-07 12:55:21,2025-11-11 12:55:21,Second Class,Consumer,East,Technology,Accessories,406.98,4,0.166,51.99
ORD03486,C00131,2025-07-24 13:03:42,2025-07-28 13:03:42,Standard Class,Consumer,North,Technology,Laptops,1360.02,8,0.108,199.81
ORD01912,C00276,2025-04-15 00:31:00,2025-04-19 00:31:00,Second Class,Consumer,West,Office Supplies,Paper,107.31,2,0.114,1.25
ORD03868,C00474,2024-10-20 18:17:58,2024-10-24 18:17:58,Second Class,Corporate,East,Office Supplies,Storage,47.59,2,0.077,3.17
ORD01410,C00261,2025-08-23 14:47:00,2025-08-26 14:47:00,Standard Class,Consumer,South,Technology,Phones,671.57,6,0.085,71.61
ORD03569,C00148,2025-02-02 03:55:05,2025-02-03 03:55:05,Same Day,Consumer,North,Office Supplies,Storage,74.86,3,0.003,9.08
ORD02101,C00849,2024-11-19 16:37:00,2024-11-24 16:37:00,Standard Class,Corporate,South,Office Supplies,Appliances,124.87,4,0.184,-4.72
ORD03631,C00004,2024-11-24 20:03:04,2024-11-27 20:03:04,First Class,Consumer,East,Technology,Laptops,507.92,4,0.097,66.17
ORD01846,C00252,2024-06-14 21:13:20,2024-06-17 21:13:20,Standard Class,Corporate,North,Furniture,Tables,545.8,3,0.264,-55.52
ORD03457,C00817,2024-03-08 06:13:16,2024-03-11 06:13:16,Standard Class,Consumer,North,Technology,Phones,1259.42,8,0.043,291.47
ORD02050,C00395,2025-02-08 20:19:31,2025-02-13 20:19:31,Standard Class,Consumer,West,Furniture,Bookcases,567.54,4,0.226,-49.87
ORD03182,C00256,2025-10-10 03:49:48,2025-10-13 03:49:48,Second Class,Corporate,West,Furniture,Bookcases,521.57,6,0.157,-19.7
